cpg,p.value,stderr,parameter,statistic,group1,group2,conf1,conf2,CHR,BP,SYMBOL
cg21557146,0.014864475,0.012105121,124.4156117,-2.470046661,0.057087677,0.086987891,-0.05385885,-0.005941577,chr5,140503914,PCDHB4
cg10394832,0.014865306,0.004514854,131.4421566,-2.468164543,0.024261193,0.035404594,-0.020074578,-0.002212224,chr1,111889533,PIFO
cg19024969,0.014872706,0.002067366,125.5158767,-2.469533359,0.010575835,0.015681265,-0.00919684,-0.00101402,chr17,32905966,C17orf102
cg00146676,0.014876141,0.005279697,117.9728461,-2.471655365,0.029308349,0.042357941,-0.023504854,-0.002594329,chr4,113442804,NEUROG2
cg13588023,0.014892798,0.001872539,117.3053526,-2.47144321,0.00991759,0.014545462,-0.008336236,-0.000919509,chr21,43187227,RIPK4
cg12794758,0.014897049,0.00603159,123.2949455,-2.46954055,0.030067658,0.044962913,-0.026834134,-0.002956377,chr1,203097234,ADORA1
cg22838079,0.014907603,0.002876777,134.8550061,-2.46626682,0.019040469,0.026135369,-0.012784336,-0.001405465,chr8,21759671,DOK2
cg24213248,0.014923624,0.009250544,138.4496642,-2.465033081,0.054232682,0.07703558,-0.041093507,-0.004512289,chr2,236845381,AGAP1
cg04548327,0.014929173,0.004898117,123.180013,-2.468763395,0.025339556,0.037431848,-0.021787674,-0.00239691,chr8,71716525,XKR9
cg11951427,0.014931167,0.00666605,114.7762846,-2.471288225,0.032347926,0.048821656,-0.029678165,-0.003269295,chr1,35351903,DLGAP3
cg11404058,0.014939003,0.002537844,126.2960245,-2.467649496,0.013724808,0.019987319,-0.011284716,-0.001240305,chr5,14011843,DNAH5
cg01473336,0.014939165,0.003244462,121.3831422,-2.469031904,0.017235798,0.025246479,-0.014433745,-0.001587617,chr16,1968584,HS3ST6
cg19509763,0.014941994,0.00634708,104.6914642,-2.474658307,0.025019253,0.040726107,-0.028292373,-0.003121335,chr14,50320632,NEMF
cg07755203,0.014946188,0.005558792,135.0691874,-2.465247288,0.031389793,0.045093588,-0.024697324,-0.002710268,chr2,150177004,LYPD6
cg04654363,0.014950583,0.007185705,132.1905608,-2.465833,0.032712587,0.050431337,-0.031932596,-0.003504904,chr8,8581213,CLDN23
cg04765277,0.01495936,0.004714224,113.5847643,-2.470972873,0.021710946,0.033359666,-0.020987928,-0.002309512,chr10,8094679,GATA3-AS1
cg21477176,0.01496412,0.006312726,126.1591405,-2.467055407,0.035683237,0.051257081,-0.028066391,-0.003081298,chr19,54445888,CACNG7
cg13312094,0.014986755,0.006414308,147.5931464,-2.461525555,0.034122234,0.049911219,-0.028464731,-0.003113237,chr19,19321359,NCAN
cg13672791,0.014990587,0.007653442,143.2035966,-2.462323711,0.036039493,0.054884744,-0.033973566,-0.003716936,chr19,54416165,CACNG7
cg13281139,0.01499372,0.002315407,147.730079,-2.461324843,0.015564982,0.021263952,-0.010274568,-0.001123372,chr4,20255061,SLIT2
cg03451212,0.015003144,0.001661723,113.998398,-2.469731631,0.008199375,0.012303385,-0.007395872,-0.000812149,chr8,70745466,SLCO5A1
cg04884908,0.015035585,0.00269825,143.8622134,-2.461064502,0.016448474,0.023089041,-0.011973904,-0.00130723,chr2,72374840,CYP26B1
cg10204868,0.015038231,0.006097351,129.559604,-2.464301473,0.035719103,0.050744813,-0.027088975,-0.002962446,chr2,131512971,AMER3
cg22419039,0.015061058,0.002238526,140.8193072,-2.461076338,0.015256686,0.020765869,-0.009934643,-0.001083721,chr1,217263213,ESRRG
cg23983449,0.01507407,0.004663905,130.1847957,-2.463247646,0.019826134,0.031314486,-0.020715206,-0.002261498,chr17,7146757,CTDNEP1
cg00898374,0.015074748,0.004323192,120.9312973,-2.465763428,0.02249807,0.033158038,-0.019218915,-0.002101021,chr13,112688766,SOX1
cg01734786,0.015076686,0.002936819,128.6390256,-2.463579847,0.016733845,0.023968934,-0.013045813,-0.001424366,chr4,163085663,FSTL5
cg04105342,0.015081997,0.004272401,140.2967513,-2.460669478,0.023153822,0.033666789,-0.018959577,-0.002066356,chr4,30724841,PCDH7
cg23326689,0.015084259,0.007524461,125.2712796,-2.464291093,0.036479527,0.055021989,-0.033433989,-0.003650935,chr8,80523461,STMN2
cg19335742,0.015118325,0.005928807,125.8713957,-2.463278508,0.028092615,0.042696918,-0.026337353,-0.002871252,chr15,40566880,PAK6
cg00400832,0.015118885,0.003794774,92.85103622,-2.475479672,0.012916887,0.022310772,-0.016929714,-0.001858057,chr7,96650323,DLX5
cg02381192,0.015122757,0.003696227,140.4440458,-2.459625962,0.022236333,0.031327669,-0.016398775,-0.001783898,chr7,1452425,MICALL2
cg17935297,0.015129893,0.003250874,106.8239837,-2.46909917,0.012293726,0.020320456,-0.014471331,-0.00158213,chr19,19651968,CILP2
cg25014026,0.015135162,0.007719858,134.2430323,-2.460730313,0.039588045,0.058584534,-0.034264771,-0.003728207,chr8,73735989,KCNB2
cg01512155,0.015138909,0.004452226,147.7001776,-2.457726278,0.025319162,0.036261516,-0.019740645,-0.002144062,chr10,49514337,NA
cg06010032,0.015155626,0.006268731,121.481357,-2.463586075,0.027705227,0.043148785,-0.027853667,-0.003033448,chr8,139508813,FAM135B
cg06870213,0.015161773,0.007626186,133.5249751,-2.460242694,0.041267286,0.060029556,-0.033846026,-0.003678513,chr6,55444335,HMGCLL1
cg21319053,0.015169016,0.004552378,135.9825595,-2.459482651,0.022041034,0.033237528,-0.020199108,-0.00219388,chr5,37840725,GDNF-AS1
cg14826456,0.01517618,0.005161764,108.5274815,-2.467307791,0.025319312,0.038054974,-0.022966611,-0.002504712,chr10,115804095,ADRB1
cg01312445,0.015179817,0.004816672,146.6808512,-2.456917615,0.02846459,0.040298756,-0.021353207,-0.002315127,chr16,86536684,FENDRR
cg11665991,0.015183744,0.003929081,129.6091231,-2.460669745,0.020574469,0.03024264,-0.017441607,-0.001894734,chr1,50893469,DMRTA2
cg02523640,0.015187353,0.003523683,140.7337574,-2.457965265,0.025956951,0.034618042,-0.015627285,-0.001694897,chr10,129534613,FOXI2
cg17173498,0.015195879,0.001446598,143.4015787,-2.457188822,0.009208223,0.012762788,-0.006413977,-0.000695154,chr1,2985494,PRDM16
cg09635053,0.015212545,0.002765931,136.6871984,-2.458244541,0.015798557,0.02259789,-0.012268883,-0.001329785,chr16,1031944,SOX8
cg12001634,0.015216864,0.003489883,108.9349365,-2.466145382,0.019685214,0.028291772,-0.015523438,-0.001689678,chr4,2059525,NAT8L
cg12673103,0.015224219,0.007220065,145.558875,-2.456048496,0.030924866,0.048657697,-0.032002537,-0.003463124,chr5,134364717,PITX1
cg11889808,0.015227176,0.003096922,125.8865781,-2.460574111,0.016253391,0.023873598,-0.013748979,-0.001491435,chr7,157483448,PTPRN2
cg13392793,0.015237559,0.007207416,123.1060134,-2.461087309,0.03221476,0.04995284,-0.032004596,-0.003471564,chr11,69533448,FGF19
cg24277007,0.015240747,0.007170686,145.8190745,-2.455589589,0.040355698,0.057963959,-0.031780162,-0.003436361,chr11,78509647,TENM4
cg02728483,0.015248046,0.003537548,109.4450661,-2.465185869,0.015339924,0.024060637,-0.015731698,-0.001709728,chr2,172965081,DLX2
cg08962888,0.015258581,0.002728075,133.1096373,-2.457951569,0.016428006,0.023133482,-0.012101462,-0.00130949,chr17,76968215,LGALS3BP
cg23770887,0.015262443,0.004877531,140.0680937,-2.456259829,0.026470158,0.038450642,-0.021623584,-0.002337384,chr6,117995812,NUS1
cg27542729,0.015265997,0.009437331,145.2443985,-2.455085199,0.044655924,0.067825377,-0.041821693,-0.004517213,chr1,177850564,SEC16B
cg00130808,0.015268138,0.011384024,120.5641666,-2.461066302,0.054513461,0.082530298,-0.050555337,-0.005478337,chr15,37178909,LOC145845
cg16546703,0.015275244,0.008951044,95.2387913,-2.470387358,0.030994021,0.053106567,-0.039882041,-0.004343052,chr5,149682795,ARSI
cg23447239,0.015284337,0.007983924,144.1225391,-2.454864018,0.041071518,0.060670966,-0.03538016,-0.003818736,chr7,157697628,PTPRN2
cg15543566,0.015287424,0.0058674,125.7622035,-2.45912057,0.027115126,0.041543771,-0.02604027,-0.002817019,chr4,87515467,PTPN13
cg20527270,0.015292426,0.003174217,138.2747082,-2.45591898,0.020248337,0.028043957,-0.014071901,-0.00151934,chr8,49468688,EFCAB1
cg04479464,0.015292493,0.003303758,135.0596275,-2.456653212,0.018819911,0.026936098,-0.014649977,-0.001582397,chr12,130670811,FZD10
cg00276389,0.015297798,0.005618099,131.8729364,-2.457287979,0.026995969,0.040801256,-0.024918542,-0.002692033,chr22,37466935,TMPRSS6
cg01384488,0.015298693,0.002881755,121.9212799,-2.45991621,0.01529227,0.022381147,-0.012793636,-0.001384117,chr10,134599809,NKX6-2
cg00889398,0.015299725,0.00476163,116.9273616,-2.461393037,0.018470897,0.030191138,-0.021150461,-0.002290023,chr13,28502089,PDX1
cg15825786,0.015305283,0.002619145,121.1889182,-2.45996618,0.015570859,0.022013867,-0.011628215,-0.001257801,chr10,134901297,ADGRA1
cg24556441,0.015307434,0.004583555,131.2900033,-2.457195147,0.024232463,0.035495153,-0.02032987,-0.002195511,chr22,33453994,SYN3
cg00492341,0.015308674,0.003224464,128.8312721,-2.457786499,0.018206615,0.026131658,-0.014304803,-0.001545284,chr1,2526950,MMEL1
cg09919392,0.015316451,0.009052655,132.4075634,-2.456698748,0.042125544,0.06436519,-0.040146182,-0.00433311,chr16,34809677,TP53TG3HP
cg21921384,0.015322771,0.002243026,115.7740436,-2.461189724,0.012022354,0.017542866,-0.009963199,-0.001077825,chr4,57976556,IGFBP7-AS1
cg17048610,0.015331529,0.007066836,147.8403614,-2.452964087,0.033779776,0.05111447,-0.031299752,-0.003369637,chr5,140731399,PCDHGB1
cg20018563,0.015332676,0.004441801,136.8075166,-2.455263017,0.025748743,0.036654532,-0.019689254,-0.002122323,chr15,92690264,SLCO3A1
cg01141940,0.015332713,0.001654417,132.5057981,-2.456275698,0.010111276,0.014174979,-0.007336187,-0.000791219,chr14,60097247,RTN1
cg02091109,0.015333176,0.003272766,132.8931911,-2.456170351,0.02038293,0.028421402,-0.014511925,-0.001565019,chr5,76940449,OTP
cg01958723,0.015335046,0.004691456,137.6014743,-2.455024908,0.024900165,0.036417806,-0.020794311,-0.002240971,chr20,34893781,DLGAP4
cg13445796,0.015341012,0.005965491,87.61822656,-2.472694492,0.017273651,0.032024487,-0.026606715,-0.002894957,chr11,20181725,DBX1
cg01978558,0.015344591,0.003053163,147.9970467,-2.452614439,0.016943401,0.024431632,-0.013521655,-0.001454806,chr8,93114437,RUNX1T1
cg08918020,0.015350366,0.003435327,146.5696389,-2.452753744,0.020029982,0.028455992,-0.015215183,-0.001636838,chr20,30225706,COX4I2
cg17830308,0.015379025,0.004539932,129.5127206,-2.455885705,0.020707183,0.031856737,-0.020131584,-0.002167524,chr5,134872124,NEUROG1
cg14907769,0.015379845,0.005234041,145.5910297,-2.452229682,0.028106188,0.040941257,-0.023179586,-0.002490553,chr8,49468941,EFCAB1
cg09813145,0.015409101,0.008823914,144.3951722,-2.451758886,0.042801365,0.064435473,-0.039074831,-0.004193385,chr16,48012664,ABCC12
cg19474546,0.01541104,0.007517727,128.0433427,-2.455480636,0.038375042,0.056834674,-0.033334691,-0.003584574,chr14,35999002,INSM2
cg19521693,0.015417768,0.007073652,144.0419246,-2.451620145,0.038459158,0.055801066,-0.031323477,-0.003360338,chr19,54468577,CACNG8
cg13083674,0.015425518,0.004687419,128.4745105,-2.455015009,0.021253452,0.032761137,-0.020782217,-0.002233152,chr19,55953372,SHISA7
cg26048448,0.015434305,0.008985071,127.4370067,-2.455070688,0.035509375,0.05756836,-0.039838232,-0.004279737,chr1,197879380,LHX9
cg02335909,0.015434684,0.003785479,123.2793732,-2.456190785,0.018765148,0.028063005,-0.016790812,-0.001804904,chr10,85743628,GHITM
cg10263682,0.015438347,0.003501086,117.6862652,-2.457747954,0.018723798,0.027328585,-0.015538082,-0.001671492,chr3,181413847,SOX2-OT
cg02160062,0.015439688,0.00433453,96.68588366,-2.465627248,0.017519342,0.028206677,-0.019290529,-0.00208414,chr19,1718969,ONECUT3
cg19352193,0.015441722,0.001625844,122.3382325,-2.456285107,0.009174149,0.013167685,-0.007211967,-0.000775105,chr13,46425508,SIAH3
cg01569076,0.015455961,0.00372738,132.0698382,-2.45336922,0.022152074,0.031296713,-0.016517729,-0.001771549,chr3,128144999,EEFSEC
cg13737332,0.015461146,0.002222577,143.9117279,-2.450592259,0.014154307,0.019600937,-0.009839744,-0.001053517,chr10,100993583,HPSE2
cg25353308,0.015465906,0.003061579,132.2775131,-2.453076421,0.015643841,0.023154129,-0.013566277,-0.001454299,chr1,120191124,ZNF697
cg14817655,0.01548917,0.005103784,108.5360226,-2.459566473,0.022078532,0.034631627,-0.022669114,-0.002437077,chr4,188916724,ZFP42
cg08605458,0.015495254,0.002798181,129.7311692,-2.452994046,0.013669527,0.020533448,-0.012399896,-0.001327947,chr2,26949714,KCNK3
cg08857729,0.015498155,0.001928588,126.8188978,-2.453677139,0.01364479,0.018376923,-0.008548513,-0.000915752,chr1,67217826,TCTEX1D1
cg23183601,0.015499777,0.00875624,110.0099561,-2.45877878,0.04737619,0.068905848,-0.038882453,-0.004176862,chr3,115837501,LSAMP
cg14270650,0.015503415,0.00287607,111.3881111,-2.458209043,0.01405327,0.02112325,-0.012768886,-0.001371075,chr6,136397995,PDE7B
cg12664770,0.015523413,0.009315527,133.9167483,-2.451285409,0.042863403,0.065698417,-0.041259607,-0.004410422,chr3,14642025,CCDC174
cg13170705,0.015523941,0.008966729,121.4060189,-2.454547193,0.037297726,0.059306985,-0.039760663,-0.004257854,chr15,100672282,ADAMTS17
cg00231945,0.015529332,0.005098562,140.0428322,-2.449754499,0.028809718,0.041299944,-0.02257033,-0.002410121,chr21,46238781,SUMO3
cg07312445,0.015532724,0.001764551,145.4910826,-2.448537892,0.011002248,0.015322819,-0.007808037,-0.000833106,chr4,40752151,NSUN7
cg22166883,0.015536519,0.005883612,112.4157601,-2.457049964,0.025509913,0.03996624,-0.026113479,-0.002799176,chr1,24116900,LYPLA2
cg03442378,0.01553761,0.004281063,115.0448442,-2.456155905,0.020160664,0.030675621,-0.018994883,-0.002035031,chr11,44332385,ALX4
cg15585318,0.015553384,0.001425409,146.1316296,-2.447911075,0.009980796,0.013470069,-0.006306353,-0.000672195,chr3,55515168,WNT5A
cg08959216,0.015553941,0.005391,99.58834927,-2.461522959,0.018970894,0.032240964,-0.023966201,-0.002573938,chr7,35293309,TBX20
cg23392804,0.015556906,0.001855735,135.3167809,-2.450145852,0.013004602,0.017551423,-0.008216816,-0.000876826,chr2,196930573,DNAH7
cg18530551,0.015558594,0.002404738,138.9436172,-2.44928635,0.011923399,0.017813291,-0.010644505,-0.001135281,chr5,172670879,NKX2-5
cg01611817,0.015559328,0.00855201,133.5272937,-2.450507742,0.039688398,0.060645165,-0.0378717,-0.004041836,chr16,34810199,TP53TG3HP
cg06103331,0.015561356,0.002170711,137.8803724,-2.449455047,0.013570745,0.018887804,-0.009609246,-0.001024871,chr15,90319174,MESP2
cg01583915,0.015561776,0.003637135,111.3919075,-2.456783036,0.01702525,0.0259609,-0.016142596,-0.001728705,chr20,1165065,TMEM74B
cg21093166,0.015569121,0.005104125,145.4195485,-2.447673297,0.032708532,0.045201762,-0.022581083,-0.002405379,chr5,2752145,C5orf38
cg10976908,0.015570477,0.005156019,135.3330452,-2.449813817,0.029488526,0.042119813,-0.022828079,-0.002434495,chr15,72610141,CELF6
cg11594299,0.015580601,0.006645187,110.7974684,-2.456529935,0.026188752,0.042512852,-0.029492246,-0.003155954,chr7,4924002,RADIL
cg23531468,0.015585126,0.002702862,142.4355951,-2.447897631,0.019412232,0.026028561,-0.011959237,-0.001273423,chr4,109929592,COL25A1
cg12459904,0.015595706,0.007916902,133.5466481,-2.449623473,0.037207497,0.056600926,-0.035052165,-0.003734692,chr5,140762315,PCDHGB3
cg18431123,0.015602853,0.005887481,145.4043569,-2.446863371,0.031220981,0.045626843,-0.026041957,-0.002769766,chr20,44144582,SPINT3
cg24259244,0.015608994,0.003770025,129.238244,-2.450361689,0.018217519,0.027455443,-0.016696881,-0.001778968,chr13,100624279,ZIC5
cg10659805,0.01561002,0.004033839,107.8472989,-2.45686689,0.019113324,0.02902393,-0.017906504,-0.001914709,chr7,96631680,DLX6-AS1
cg24188073,0.01562125,0.001794495,137.7970055,-2.448028094,0.010754002,0.015146976,-0.007941281,-0.000844667,chr4,75858269,PARM1
cg14055212,0.015637145,0.00508121,141.5594144,-2.446828782,0.031088029,0.04352088,-0.022477711,-0.00238799,chr7,104445585,LHFPL3
cg14225678,0.015637436,0.005647282,96.95977573,-2.460645723,0.020398814,0.034294774,-0.025104311,-0.00268761,chr7,54612325,VSTM2A
cg24304714,0.015643969,0.009009033,146.0577561,-2.445744488,0.047773094,0.069806888,-0.039838699,-0.004228889,chr1,152779374,LCE1C
cg03229996,0.0156492,0.005186231,121.5139489,-2.451478263,0.02285192,0.035565854,-0.022981008,-0.002446859,chr16,88491019,ZNF469
cg26578856,0.015651324,0.004398422,128.9509374,-2.4494131,0.020312848,0.031086399,-0.019475968,-0.002071135,chr19,11998651,ZNF69
cg22697864,0.015671004,0.004425455,123.3007678,-2.450445646,0.02075335,0.031597686,-0.01960404,-0.002084632,chr1,46954754,DMBX1
cg17657394,0.015673748,0.002930532,122.2481383,-2.45067574,0.016468588,0.023650372,-0.012982948,-0.001380621,chr6,137819188,OLIG3
cg17394237,0.015674928,0.009356583,130.2843425,-2.448508158,0.043340514,0.066250184,-0.041420171,-0.004399169,chr4,7196466,SORCS2
cg16251016,0.015688327,0.004088139,144.5987528,-2.444972249,0.02700139,0.036996777,-0.018075617,-0.001915156,chr19,11643100,ECSIT
cg03987192,0.015704876,0.005255838,135.8456662,-2.446458635,0.027097284,0.039955475,-0.023252037,-0.002464345,chr1,26373407,SLC30A2
cg15166089,0.015707367,0.002843028,126.5439197,-2.448688711,0.01507952,0.022041211,-0.012587727,-0.001335656,chr1,27710030,CD164L2
cg23518655,0.015708637,0.005242838,132.7721819,-2.447089082,0.028570899,0.041400589,-0.023199984,-0.002459398,chr20,61674287,LINC01056
cg15554219,0.015711568,0.010946221,145.5193181,-2.444230961,0.039143272,0.065898364,-0.048389206,-0.005120979,chr3,137478371,SOX14
cg25755283,0.015718104,0.005855485,93.1831854,-2.460465696,0.020328256,0.034735476,-0.026034751,-0.002779688,chr1,119531093,TBX15
cg22394948,0.015718833,0.001919361,142.584892,-2.444654118,0.014065227,0.018757402,-0.008486256,-0.000898094,chr6,73907779,KCNQ5
cg23262094,0.015722511,0.008490673,146.3797067,-2.443798761,0.049069961,0.069819457,-0.037529637,-0.003969355,chr1,209422036,MIR205HG
cg14211598,0.015723747,0.004180104,107.8702445,-2.454099674,0.020070722,0.030329114,-0.018544196,-0.001972588,chr7,155286861,CNPY1
cg00845765,0.015724344,0.002345734,119.0358035,-2.450392584,0.011941514,0.017689483,-0.010392743,-0.001103196,chr8,145700821,FOXH1
cg00703513,0.015729706,0.004288435,128.8928595,-2.447542356,0.023189456,0.033685584,-0.018980969,-0.002011286,chr8,145925258,ARHGAP39
cg24892966,0.01574629,0.006700572,99.24308261,-2.456984493,0.023154229,0.039617432,-0.029758189,-0.003168216,chr6,27526023,ZNF184
cg00912625,0.015755591,0.002938066,146.3468104,-2.443015063,0.021032196,0.028209937,-0.01298426,-0.001371221,chr3,2140977,CNTN4
cg20464246,0.015757637,0.002783414,137.1428881,-2.444900715,0.017806825,0.024611995,-0.012309129,-0.001301212,chr1,216774397,ESRRG
cg06087019,0.015758556,0.003878871,143.5000753,-2.443515821,0.019965291,0.029443374,-0.017145189,-0.001810977,chr3,27770182,EOMES
cg06293294,0.015762463,0.003135044,126.4928109,-2.447379297,0.016622964,0.024295606,-0.013876569,-0.001468716,chr11,100557954,ARHGAP42
cg07226484,0.015764448,0.00332798,136.6872032,-2.44484049,0.017619931,0.02575631,-0.014717364,-0.001555394,chr1,1972776,PRKCZ
cg12378187,0.0157741,0.004212389,134.7666603,-2.445049856,0.022105771,0.032405272,-0.01863044,-0.001968561,chr3,62355443,FEZF2
cg00268840,0.015774565,0.003602548,98.40746394,-2.456664078,0.014779558,0.023629809,-0.01599902,-0.001701481,chr11,44332653,ALX4
cg26605683,0.015778928,0.009116815,116.1723984,-2.449957224,0.042293811,0.064629617,-0.040392524,-0.004279088,chr5,172751269,STC2
cg26917694,0.015796396,0.003597455,146.2471628,-2.442061998,0.022429097,0.031214305,-0.015894922,-0.001675494,chr1,221061058,HLX
cg00884093,0.015802638,0.004697115,118.2669644,-2.44874243,0.024715226,0.03621725,-0.020803373,-0.002200676,chr22,46932648,CELSR1
cg05725703,0.01581128,0.004457819,130.9309125,-2.445079109,0.022129959,0.03302968,-0.019718395,-0.002081048,chr3,46906118,MYL3
cg19805223,0.015820782,0.004648131,140.7636436,-2.442603201,0.028806663,0.040160203,-0.020542712,-0.00216437,chr22,25346191,TMEM211
cg08003628,0.015829625,0.006992439,140.1349191,-2.442526931,0.043412567,0.060491789,-0.030903534,-0.003254909,chr8,106332188,ZFPM2
cg16457351,0.015842848,0.007492154,128.5816005,-2.444914557,0.037153832,0.055471507,-0.033141541,-0.003493809,chr5,176297315,UNC5A
cg18843682,0.015847786,0.003043492,145.9291654,-2.440902787,0.015133466,0.022562335,-0.013443886,-0.001413852,chr12,54425156,HOXC4
cg06666025,0.01585408,0.004123372,94.28373348,-2.456633788,0.012322672,0.022452288,-0.018316348,-0.001942885,chr16,66613278,CMTM2
cg17208427,0.015858202,0.002398566,144.5806871,-2.440924303,0.015093726,0.020948444,-0.010595502,-0.001113934,chr16,68679556,CDH3
cg06360527,0.015859111,0.002598751,133.6314193,-2.443288077,0.014766893,0.02111639,-0.011489503,-0.001209491,chr17,7491548,SOX15
cg14093715,0.015867364,0.0015014,135.3093557,-2.442700898,0.009706482,0.013373953,-0.006636718,-0.000698225,chr9,126776180,LHX2
cg25398315,0.015868751,0.008600063,144.9482076,-2.44060026,0.046017038,0.067006353,-0.037987042,-0.003991588,chr8,135938022,MIR30D
cg05951296,0.015870502,0.004496279,126.2685946,-2.444856177,0.021946087,0.032938842,-0.019890575,-0.002094935,chr10,130602126,MGMT
cg01985396,0.015874299,0.00482424,123.916525,-2.445399823,0.025574938,0.037372134,-0.021345783,-0.00224861,chr6,39760833,DAAM2
cg20631014,0.015878649,0.003011958,133.1195436,-2.442944546,0.018682022,0.026040067,-0.013315532,-0.001400559,chr6,84419242,SNAP91
cg10110367,0.015882996,0.003510621,123.42145,-2.445329075,0.022033652,0.030618274,-0.015533445,-0.0016358,chr21,46131464,TSPEAR
cg24173921,0.015883022,0.002431366,120.620953,-2.446122301,0.014612093,0.02055951,-0.010761099,-0.001133735,chr3,44690229,ZNF35
cg14570291,0.015887477,0.004114278,141.1341488,-2.440939931,0.020583857,0.030626563,-0.018176285,-0.001909127,chr10,110672231,XPNPEP1
cg17190117,0.015887758,0.00274861,133.4817209,-2.442642211,0.014857199,0.021571071,-0.012150337,-0.001277407,chr17,34071861,GAS2L2
cg09155219,0.015909428,0.003096892,115.6892574,-2.446984579,0.013380145,0.020958192,-0.013712006,-0.001444089,chr14,48144280,MDGA2
cg09896622,0.01591397,0.004276802,124.9917649,-2.444162444,0.019246367,0.029699565,-0.018917525,-0.001988871,chr13,102568555,FGF14
cg05837855,0.015913993,0.004643654,146.3623654,-2.43924856,0.030526291,0.041853316,-0.020504301,-0.002149751,chr3,197295287,BDH1
cg00169419,0.015923531,0.012170401,125.8603947,-2.443702531,0.052778866,0.082519706,-0.053825966,-0.005655715,chr4,111530900,PITX2
cg22022568,0.015926377,0.005707064,132.4944707,-2.44196038,0.026748166,0.040684591,-0.025225172,-0.002647677,chr1,39270310,RRAGC
cg04384626,0.015939194,0.006372163,94.9281209,-2.454277325,0.02097757,0.036616625,-0.02828952,-0.002988588,chr4,41882580,TMEM33
cg01446894,0.015947158,0.006551288,133.8153748,-2.441154659,0.026403061,0.042395767,-0.028950175,-0.003035238,chr20,21688203,PAX1
cg01087294,0.015952478,0.00287764,120.4549313,-2.444516809,0.014906044,0.021940484,-0.012731748,-0.001337132,chr15,90456194,ARPIN-AP3S2
cg11518839,0.015965906,0.009661863,120.5357826,-2.444174362,0.04061855,0.064233827,-0.042744226,-0.004486327,chr5,176216711,UNC5A
cg20037507,0.015968079,0.006848943,126.6919143,-2.442425868,0.031950501,0.048678536,-0.030281174,-0.003174896,chr3,62363248,FEZF2
cg12727529,0.015975659,0.006730354,139.9672325,-2.439101519,0.037244126,0.053660142,-0.029722314,-0.003109718,chr3,42307761,CCK
cg23033691,0.015989662,0.006049357,137.9257965,-2.439214678,0.029230386,0.043986066,-0.02671715,-0.002794208,chr11,66185611,NPAS4
cg16621987,0.015989873,0.002218336,120.6558899,2.443570872,0.016925517,0.011504857,0.001028753,0.009812568,chr22,19110328,DGCR2
cg17827614,0.015992201,0.006766819,125.6096962,-2.442140525,0.029285476,0.045810998,-0.02991726,-0.003133783,chr6,33258129,BAK1
cg12539415,0.015994105,0.00633427,115.7105968,-2.444962348,0.034198407,0.049685459,-0.028033203,-0.002940901,chr2,177016167,HOXD4
cg06392169,0.016000622,0.002702428,119.6364604,-2.443613311,0.014514161,0.02111785,-0.011954475,-0.001252904,chr6,391936,IRF4
cg13391313,0.016013097,0.005833144,139.8317056,-2.438247687,0.025222893,0.039445542,-0.025755209,-0.00269009,chr17,80330415,UTS2R
cg07826431,0.016016001,0.004169827,118.0786748,-2.443712982,0.018509417,0.028699277,-0.018447195,-0.001932525,chr7,156182208,LOC285889
cg01025233,0.016019854,0.004458837,121.622837,-2.442583403,0.019938113,0.030829195,-0.019718069,-0.002064094,chr5,72732060,BTF3
cg26990680,0.016030522,0.007675238,99.43057404,-2.450069398,0.023739708,0.042544575,-0.034033389,-0.003576344,chr10,50816058,NA
cg03844826,0.016039372,0.007933188,125.8071611,-2.4409728,0.035878823,0.055243519,-0.035064476,-0.003664917,chr4,187609604,FAT1
cg05908587,0.016043285,0.003057293,145.896783,-2.436292557,0.019688042,0.027136501,-0.013490762,-0.001406157,chr14,69726251,GALNT16
cg17819168,0.016056503,0.005083495,138.3000372,-2.437558009,0.029443684,0.041834998,-0.022442733,-0.002339894,chr15,23807180,MIR4508
cg08555552,0.016063605,0.002385242,139.4775642,-2.437135495,0.014626734,0.020439893,-0.010529065,-0.001097253,chr4,13536409,LINC01097
cg17242351,0.016078027,0.009242185,145.0529682,-2.435644087,0.047981025,0.070491699,-0.040777422,-0.004243924,chr15,35086890,ACTC1
cg17963840,0.016097144,0.008232258,104.8632216,-2.446285191,0.028844919,0.04898337,-0.036461746,-0.003815156,chr8,26722861,ADRA1A
cg22275864,0.016103104,0.005462261,122.125284,-2.440475806,0.02567935,0.039009866,-0.024143497,-0.002517536,chr8,37822562,ADRB3
cg09924165,0.016104645,0.002656467,141.3723568,-2.435770596,0.016148104,0.022618648,-0.011722076,-0.00121901,chr2,217559417,IGFBP5
cg09838285,0.016114506,0.002678942,138.1033341,-2.436239592,0.015413818,0.021940362,-0.011823591,-0.001229498,chr19,11805721,ZNF833P
cg16617366,0.016114749,0.006450624,108.9601835,-2.444358235,0.029658291,0.045425928,-0.028552617,-0.002982657,chr18,46064816,CTIF
cg03119043,0.016143923,0.005784188,128.0011622,-2.437940929,0.031870201,0.045971709,-0.025546512,-0.002656506,chr1,47915553,FOXD2
cg07638884,0.016150037,0.001765149,129.3551531,-2.437455277,0.012816661,0.017119133,-0.007794772,-0.000810172,chr3,77088763,ROBO2
cg09678971,0.016164843,0.003835486,116.3803846,-2.440718505,0.01898103,0.028342371,-0.016957742,-0.00176494,chr2,223160486,PAX3
